Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-2-how-inefficient-po-management-is-costing-you-money,66,66,67,1,0,0,0.00
/case-studies/rocore,65,65,64,17,0,0,0.00
/blog/empowering-the-future-sourceday-and-infor-partner-for-best-in-class-po-lifecycle-management,62,55,40,44,0,0,0.00
/blog/page/3,61,61,60,0,0,0,0.00
/clear-to-build-and-your-supply-chain-what-you-need-to-know,61,56,55,33,0,0,0.00
/industries/data-center-manufacturing,61,61,59,12,0,0,0.00
/resource/about-sourceday-2,60,60,58,16,1,0,0.02
/sourceday-partnership-with-sps-commerce-edi,60,57,55,2,0,0,0.00
/optimizing-direct-materials-procurement,59,59,59,15,0,0,0.00
/case-studies/virtex,56,56,55,3,0,0,0.00
/supplier-scorecard,55,52,46,44,0,0,0.00
/terms-conditions/terms-conditions-september-2024,55,49,46,29,0,0,0.00
/resource/how-track-top-10-supplier-kpis,54,54,52,2,0,0,0.00
/sourceday-unveils-sourceday-intelligence,54,53,51,1,0,0,0.00
/blog/supplier-relationship-management-software,53,53,53,3,0,0,0.00
/blog/supply-chain-visibility-how-to-reduce-supply-volatility-and-improve-business-planning-2,53,53,53,0,0,0,0.00
/WB-SpendMatters-Webinar-Sept-1909_Registration-Page.html,52,52,52,3,0,0,0.00
/blog/tariffs-inflation-uncertainty-how-sourceday-keeps-you-a-step-ahead,52,45,39,21,0,0,0.00
/resource-categories,52,52,50,4,0,0,0.00
/blog/the-critical-importance-of-supply-assurance-in-modern-manufacturing,51,49,48,15,0,0,0.00
/blog/what-is-direct-procurement,51,40,37,16,0,0,0.00
/blog/edi-collaborative-supplier-portals,49,25,21,26,0,0,0.00
/resources/partners,47,46,42,10,0,0,0.00
/case-studies/select-brands,46,46,46,2,0,0,0.00
/blog/strengthening-supply-chains-through-supplier-diversification-a-practical-guide-for-north-american-manufacturers-distributors,45,43,44,2,0,0,0.00
/case-studies/chatsworth-products,45,45,40,3,0,0,0.00
/resource/cost-containment-through-po-lifecycle-management-webinar-on-demand,45,42,35,9,0,0,0.00
/blog/3-ways-sourceday-helps-manufacturers-and-distributors-work-smarter-not-harder,44,44,40,11,1,0,0.02
/industries/telecommunication-equipment,44,43,43,9,0,0,0.00
/resource/sourceday-at-a-glance,44,43,42,6,0,0,0.00
/sourceday-recognized-in-2023-spend-matters-50-providers-to-watch,44,44,44,0,0,0,0.00
/blog/why-infor-manufacturers-are-doubling-down-on-sourceday-for-long-term-supplier-performance,43,43,39,29,0,0,0.00
/supplier-network-competitive-advantage,42,42,42,10,0,0,0.00
/case-studies/jbt-aerotech,41,36,30,23,0,0,0.00
/supply-volatility-index,41,35,24,27,0,0,0.00
"/,Andromeda_Geography_Fit__c=Core",40,40,40,0,0,0,0.00
/by-audience,39,39,38,7,0,0,0.00
/blog/can-crms-be-integrated-with-erp,38,35,34,21,0,0,0.00
/blog/supplier-collaboration-portals-enhancing-business-relationships-and-efficiency,38,37,35,16,0,0,0.00
/case-studies/global-interconnect,38,38,36,11,0,0,0.00
/blog/are-late-purchase-orders-undermining-your-production,36,31,28,56,0,0,0.00
/integrations/acumatica,35,35,34,26,0,0,0.00
/understanding-why-purchase-order-management-crucial-supply-chain-success,35,35,37,1,0,0,0.00
/terms-conditions-listing,34,17,13,9,0,0,0.00
/resource/connectivity-and-finance,33,7,7,11,0,0,0.00
/team/clint-mccree,33,32,29,16,0,0,0.00
/blog/enhancing-supplier-relationship-management-a-comprehensive-guide,32,32,30,86,0,0,0.00
/support.html,32,32,29,7,0,0,0.00
/blog/purchase-order-management-software,31,27,22,35,0,0,0.00
/case-studies/edson,31,30,29,14,0,0,0.00
/purchase-order-management,31,26,22,52,0,0,0.00
/supplier-portal-problems,31,28,27,80,0,0,0.00
/blog/automating-extending-netsuite-inbound-shipment-module,30,26,26,22,0,0,0.00
/case-studies/federal-manufacturing,30,30,29,7,0,0,0.00
/integrations/sourceday-for-any-erp,30,30,29,13,0,0,0.00
/team/michael-miller-2,30,29,27,16,0,0,0.00
/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-3-transform-your-procurement-strategy-by-reducing-risk,29,29,25,15,0,0,0.00
/blog/navigating-supply-chain-risks-how-technology-enhances-supply-assurance,29,28,27,5,0,0,0.00
/blog/why-supply-assurance-is-now-a-strategic-imperative-in-manufacturing,29,29,29,4,0,0,0.00
/integrations/infor-ln,29,27,23,32,0,0,0.00
/press-release-sourceday-secures-6-5-million-series-a-financing-from-leading-venture-firms,29,29,28,3,0,0,0.00
/case-studies/rf-ideas_2023,28,28,28,3,0,0,0.00
/blog/improve-supplier-communication,26,26,24,17,0,0,0.00
/blog/introducing-sourceday-supplier-scorecards,26,24,24,26,0,0,0.00
/blog/what-makes-a-good-erp-system-better,26,24,24,31,0,0,0.00
/case-studies/military-subcontractor-manufacturing-company,26,24,20,11,0,0,0.00
/terms-conditions-march-2023,26,18,13,37,0,0,0.00
/blog/direct-procurement-risk-management,25,23,21,15,0,0,0.00
/resource/top-10-supplier-kpis-track,25,24,21,14,0,0,0.00
/resource/white-paper-from-supply-chain-disruption-resilience,25,23,16,33,0,0,0.00
/reviews-awards,25,23,20,13,0,0,0.00
/what-the-duck-supply-chain-podcast,25,25,25,2,0,0,0.00
/50-women-in-erp-to-follow-2022,24,23,23,15,0,0,0.00
/blog/the-challenge-of-late-orders-starts-with-po-acknowledgement,24,20,19,30,0,0,0.00
/sourceday-video-tour-1-infor,24,14,12,21,0,0,0.00
/terms-conditions/terms-conditions-listing,24,12,11,33,0,0,0.00
/blog/overcome-the-challenges-of-supply-chain-collaboration,23,20,20,23,0,0,0.00
/integrations/sap,23,22,17,55,0,0,0.00
/resource/invoice-automation-product-sheet,23,21,16,35,0,0,0.00
/testimonials/progress-rail-2,23,22,18,10,0,0,0.00
/blog/sourceday-closes-12-5-million-series-b-funding-round-following-record-breaking-year-press-release,22,22,21,7,0,0,0.00
/blog/supplier-network-competitive-advantage,22,22,21,7,0,0,0.00
/enhancing-supply-chain-efficiency-through-collaboration-platforms,22,18,16,10,0,0,0.00
/what-is-continuity-of-supply-and-why-do-i-need-it,22,18,18,40,0,0,0.00
"/,crunchbase__Crunchbase_URL__c=https:/www.crunchbase.com/organization/bidsmash,Vol_Last_Qualified_By_2__c=005700000056RWZAA2,Perseus_Primary_Industry__c=Warehouse",21,21,21,0,0,0,0.00
/author/sourceday,21,21,21,3,0,0,0.00
/blog/a-better-procure-to-pay-solution-how-sourceday-and-medius-address-your-operational-challenges,21,19,16,32,0,0,0.00
/blog/supplier-risk-management-strategy-how-to-build-a-resilient-supply-chain,21,20,20,2,0,0,0.00
/resource/sourceday-intelligence-intelligent-risk-mitigation-to-enhance-supply-chain-performance,21,21,21,0,0,0,0.00
/resource/transcript-voice-of-supply-chain-jun-2023,21,21,21,6,0,0,0.00
/30-minute-path-to-better-supplier-performance,20,10,5,67,0,0,0.00
/blog/the-future-of-the-manufacturing-workforce,20,16,14,9,2,0,0.05
/can-crms-be-integrated-with-erp,20,16,13,29,0,0,0.00
/resource/sourceday-the-non-portal-supplier-portal-a-solution-for-supplier-engagement-webinar-on-demand,20,20,13,35,0,0,0.00
/integrations/infor-visual,19,19,18,43,0,0,0.00
/terms-conditions-version-1,19,19,17,9,0,0,0.00
/unlocking-supply-chain-efficiency-the-power-of-purchase-order-tracking-software,19,14,12,23,0,0,0.00
/blog/how-to-integrate-erp-systems,18,18,18,15,0,0,0.00
/case_study-category/vehicle-parts-manufacturing,18,18,18,3,0,0,0.00
/customers,18,18,18,0,0,0,0.00
/industries/wire-cable,18,18,18,16,0,0,0.00
/terms-conditions-terms-conditions-dec-2023/terms-conditions-listing,18,17,14,10,0,0,0.00
/blog/more-reasons-to-trust-sourceday,17,17,15,31,0,0,0.00
/case-studies/cmd-cmafh,17,17,17,4,0,0,0.00
/resource/po-collaboration-sourceday-epicor,17,16,15,32,0,0,0.00
/resource/supplier-collaboration-for-netsuite,17,17,15,5,0,0,0.00
/risk-management,17,14,12,5,0,0,0.00
/team/lauren-hammonds,17,17,17,3,0,0,0.00
/drawing-the-line-between-direct-and-indirect-spend,16,16,14,17,0,0,0.00
/how-sportsman-boats-took-control-of-supply-chain-chaos-on-demand-webinar,16,8,2,123,0,0,0.00
/newsletter,16,13,9,13,3,0,0.13
/resource/transcript-voice-of-supply-chain-apr-2022,16,16,16,3,0,0,0.00
/resource/why-sourceday-our-customers-will-tell-you,16,15,15,3,0,0,0.00
/resources/downloadable-resources,16,16,16,11,0,0,0.00
/sc-resilience-playbook,16,7,2,103,0,0,0.00
/blog/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-1-5-ways-a-high-performing-po-lifecycle-management-can-protect-operating-margins,15,13,12,22,0,0,0.00
/blog/epicor-invoice-automation-extend-improve-your-erp,15,15,15,46,0,0,0.00
/blog/how-manual-procurement-slows-business-growth,15,15,14,4,0,0,0.00
/blog/sourceday-a-coupa-app-marketplace-partner-improves-supplier-order-fulfillment,15,15,15,7,0,0,0.00
/blog/sourceday-announces-record-growth-as-one-of-austins-fastest-growing-companies-press-release,15,15,14,15,0,0,0.00
/blog/supply-chain-visibility-how-to-reduce-supply-volatility-and-improve-business-planning,15,12,9,14,0,0,0.00
/blog/uncovering-hidden-costs-how-a-supplier-portal-protects-manufacturers-bottom-line,15,13,11,10,0,0,0.00
/blog/what-is-rfq-software,15,13,13,5,0,0,0.00
/case-studies/winky-lux,15,15,15,8,0,0,0.00
/case_study-category/higher-on-time-delivery,15,15,15,4,0,0,0.00
/terms-conditions-august-2023,15,14,13,14,0,0,0.00
/thank-you,15,15,8,2,13,0,0.87
/blog/author/donna,14,8,3,32,0,0,0.00
/blog/how-supply-chain-solutions-help-optimize-your-businesses-efficiency,14,14,13,1,0,0,0.00
/blog/partner-feature-highlight-paul-tedford-of-synergy-resources,14,14,12,64,0,0,0.00
/blog/unlock-procurement-value-with-sourceday-automation,14,13,9,3,0,0,0.00
/missing-parts-cost-scary-but-true-tales-of-the-million-dollar-nickel,14,14,14,1,0,0,0.00
/resource/how-sourceday-helps-with-supplier-onboarding,14,14,12,17,0,0,0.00
/resource/transcript-manufacturing-supply-chain-woes-feb-2022,14,14,14,3,0,0,0.00
/sitemap/sitemap.xml,14,14,14,0,0,0,0.00
/unlock-procurement-value-with-sourceday-automation,14,13,11,6,0,0,0.00
/blog/epicor-customers-have-been-winning-with-sourceday-for-years,13,13,10,32,0,0,0.00
/blog/esg-compliance-streamline-supply-chain,13,13,13,6,0,0,0.00
/resource/9-step-inbound-risk-assessment,13,6,5,33,0,0,0.00
/resource/shaw-development-supplier-welcome,13,13,13,7,0,0,0.00
/resource/transcript-voice-of-supply-chain-aug-2022,13,13,13,7,0,0,0.00
/resource/transcript-voice-of-supply-chain-mar-2023,13,13,13,1,0,0,0.00
/resource/year-round-disruption-the-costs-and-risks-for-supply-chains,13,13,13,1,0,0,0.00
/shipment-visibility,13,12,7,11,0,0,0.00
/supplier-collaboration-portals-enhancing-business-relationships-and-efficiency,13,12,12,31,0,0,0.00
/team/donna-fritz,13,13,11,28,0,0,0.00
/team/paul-willson,13,13,14,2,0,0,0.00
/blog/2022-women-in-erp-to-follow,12,12,11,10,0,0,0.00
/blog/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-5-turning-reactive-risk-mitigation-into-proactive-risk-management,12,12,11,3,0,0,0.00
/blog/author/jasmine,12,12,12,4,0,0,0.00
/blog/author/jim-hilbert,12,12,12,3,0,0,0.00
/blog/tag/customer-story,12,12,12,6,0,0,0.00
/blog/why-its-time-to-re-engineer-direct-procurement-for-supply-chain-resilience,12,9,6,62,0,0,0.00
/edi-collaborative-supplier-portals,12,3,3,7,0,0,0.00
/integrations/microsoft,12,12,11,45,1,0,0.08
/resource/elevate-your-supply-chain,12,12,12,2,0,0,0.00
/resource/navigating-supply-chain-challenges-in-manufacturing-from-the-perspective-of-tom-kieley,12,12,11,50,0,0,0.00
/resource/supply-chain-financial-excellence-cfo-guide,12,11,10,20,0,0,0.00
/resource/transcript-manufacturing-supply-chain-woes-mar-2023,12,12,12,1,0,0,0.00
/resource/transcript-voice-of-supply-chain-may-2023,12,12,12,2,0,0,0.00
/resource/transcript-voice-of-supply-chain-nov-2021,12,12,12,1,0,0,0.00
/resource/transcript-voice-of-supply-chain-oct-2021,12,12,12,2,0,0,0.00
/terms-conditions/terms-conditions-march-2025,12,9,2,9,0,0,0.00
/the-cost-of-downtime-when-parts-are-missing,12,12,11,75,0,0,0.00
/what-is-direct-procurement,12,10,3,13,0,0,0.00
/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-1-5-ways-a-high-performing-po-lifecycle-management-can-protect-operating-margins,11,11,10,3,0,0,0.00
/blog/author/emily,11,11,11,3,0,0,0.00
/blog/author/mikey-wey,11,11,11,2,0,0,0.00
/blog/how-leading-manufacturers-are-using-technology-to-solve-the-supply-assurance-puzzle,11,11,11,5,0,0,0.00
/category/purchase-order-automation,11,11,11,0,0,0,0.00
/faq-category/risk-mitigation,11,11,11,2,0,0,0.00
/industries/medical-devices-equipment,11,9,9,0,0,0,0.00
/integrations/infor-cloudsuite,11,11,11,20,1,0,0.09
/resource/30-minute-path-to-better-supplier-performance,11,9,6,12,0,0,0.00
/resource/a-toast-to-our-valued-customers,11,11,11,1,0,0,0.00
/resource/delivering-a-higher-level-of-performance-and-visibility-in-your-supply-chain,11,11,11,4,0,0,0.00
/resource/full-webinar,11,11,7,61,0,0,0.00
/resource/impact-of-covid-19-on-your-supply-chain,11,11,11,2,0,0,0.00
/resource/the-importance-and-impact-of-supplier-reliability-accountability-webinar-on-demand,11,10,8,17,0,0,0.00
/resource/transcript-voice-of-supply-chain-dec-2021,11,11,11,4,0,0,0.00
/resource/transcript-voice-of-supply-chain-jun-2021,11,11,11,4,0,0,0.00
/supplier-portal-software-turning-chaos-into-collaboration,11,8,8,13,0,0,0.00
/team/jeremy-hang,11,11,11,23,0,0,0.00
/author/admin1,10,10,10,3,0,0,0.00
/author/brooke,10,10,10,5,0,0,0.00
/blog/author/brett-wagner,10,10,10,4,0,0,0.00
/blog/author/chelsea-blaylock,10,10,10,1,0,0,0.00
/blog/author/danica-morningstar,10,10,10,6,0,0,0.00
/blog/author/fred-brown,10,10,10,4,0,0,0.00
/blog/author/michael-miller,10,10,10,1,0,0,0.00
/blog/author/naomimiller,10,10,10,6,0,0,0.00
/blog/tag/supply-chain-management,10,10,10,4,0,0,0.00
/blog/the-domino-effect-how-outdated-po-collaboration-harms-erp-data-and-supply-reliability,10,9,7,29,0,0,0.00
/blog/type/product-sheet,10,10,10,3,0,0,0.00
/case-studies/duramark,10,10,10,7,0,0,0.00
/case-studies/napoleon,10,10,9,11,0,0,0.00
/category/company-updates,10,10,10,3,0,0,0.00
/improve-supplier-communication,10,8,8,17,0,0,0.00
/industries,10,10,10,0,0,0,0.00
/resource/how-resco-manages-influx-growth,10,9,9,0,0,0,0.00
/resource/how-to-de-risk-your-supply-chain-with-sourceday-webinar-on-demand,10,8,6,16,0,0,0.00
/resource/po-collaboration-product-sheet,10,10,9,2,0,0,0.00
/resource/po-collaboration-solution,10,10,9,119,0,0,0.00
/resource/sourcedays-supplier-management-process,10,10,10,1,0,0,0.00
/resource/transcript-another-ducking-digest-aug-7th-2023,10,10,10,3,0,0,0.00
/resource/transcript-manufacturing-supply-chain-woes-dec-2022,10,10,10,1,0,0,0.00
/resource/transcript-manufacturing-supply-chain-woes-may-2023,10,10,10,3,0,0,0.00
/resource/transcript-women-in-erp-may-2022,10,10,10,5,0,0,0.00
/resource/why-progress-rail-invested-in-sourceday,10,8,7,5,0,0,0.00
/terms-conditions-may-2022,10,5,4,41,0,0,0.00
/testimonials/ares-tools,10,10,10,1,0,0,0.00
/unleash-the-power-of-streamlining-purchase-order-acknowledgement-with-sourceday,10,9,8,5,0,0,0.00
/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-4-sourceday-supplier-engagement-a-change-agent-for-finance-teams,9,8,8,14,0,0,0.00
/articles/ayurvedic-diet,9,9,5,4,0,0,0.00
/author/kim-c,9,9,9,4,0,0,0.00
/blog/author/allison-durbin,9,9,9,4,0,0,0.00
/blog/author/heather,9,9,9,4,0,0,0.00
/blog/author/sourceday,9,9,9,1,0,0,0.00
/blog/sourceday-closes-series-c-funding,9,9,8,3,0,0,0.00
/blog/tag/supply-management,9,9,9,5,0,0,0.00
/blog/tag/syteline,9,9,9,3,0,0,0.00
/case-studies/marine-layer,9,9,6,9,0,0,0.00
/case_study-category/improved-efficiency,9,9,9,3,0,0,0.00
/case_study-category/supply-chain-performance,9,9,9,5,0,0,0.00
/empowering-the-future-sourceday-and-infor-partner-for-best-in-class-po-lifecycle-management,9,8,7,34,0,0,0.00
/erp-integrations-old/netsuite,9,9,9,4,0,0,0.00
/features,9,9,9,0,0,0,0.00
/how-to-integrate-erp-systems,9,8,8,7,0,0,0.00
/industries/pet-products,9,9,9,0,0,0,0.00
/industries/tires-rubber,9,9,9,0,0,0,0.00
/industries/toys-games,9,9,8,3,0,0,0.00
/resource/digital-transformation-for-po-and-ap-value-streams,9,9,8,3,0,0,0.00
/resource/otd-game-changer,9,9,6,23,0,0,0.00
/resource/progress-rails-indirect-spend-world-pre-coupa,9,9,8,39,0,0,0.00
/resource/supplier-collaboration-critical,9,6,5,3,0,0,0.00
/resource/supplier-webinar-po-collaboration-22,9,9,9,3,0,0,0.00
/resource/transcript-another-ducking-digest-october-2nd-2023,9,9,9,2,0,0,0.00
/resource/visual-focus-booth-demo,9,9,9,3,0,0,0.00
/resources/webinars,9,5,4,16,0,0,0.00
/solutions/supplier-performance,9,9,7,23,0,0,0.00
/team/fred-brown,9,9,9,88,0,0,0.00
/team/mikey-wey,9,9,7,18,0,0,0.00
/testimonials/chatworth_products,9,9,9,2,0,0,0.00
/testimonials/global-interconnect,9,9,9,3,0,0,0.00
/the-challenge-of-late-orders-starts-with-po-acknowledgement,9,9,9,16,0,0,0.00
/40-women-in-manufacturing-to-follow-2023,8,8,7,3,0,0,0.00
/are-late-purchase-orders-undermining-your-production,8,8,8,21,0,0,0.00
/blog/author/haroldpenson,8,8,8,5,0,0,0.00
/blog/author/rachaelhyde,8,8,8,4,0,0,0.00
/blog/author/sarahmoore,8,8,8,4,0,0,0.00
/blog/debunking-the-myths-blocking-your-path-to-96-on-time-delivery,8,8,5,50,0,0,0.00
/blog/how-to-monitor-at-risk-supplier-orders-during-covid-19,8,8,8,101,0,0,0.00
/blog/press-release-sourceday-snags-spredfast-executive-and-channel-development-veteran-amid-rapid-growth,8,8,8,6,0,0,0.00
/blog/supply-chain-risk-management,8,8,8,9,0,0,0.00
/blog/what-is-indirect-procurement,8,8,8,1,0,0,0.00
/industries/aerospace-defense,8,8,5,26,0,0,0.00
/industries/photographic-optical-equipment,8,8,8,1,0,0,0.00
/integrations,8,8,7,4,0,0,0.00
/on-demand-webinar-shielding-your-supply-chain,8,5,3,14,0,0,0.00
/resource-categories/page/2,8,8,8,1,0,0,0.00
/resource-type/article,8,8,8,6,0,0,0.00
/resource/10-keys-choosing-reliable-materials-suppliers,8,8,8,4,0,0,0.00
/resource/4-ways-to-bridge-the-gap-between-epicor-and-your-suppliers/webinar-transcript-ft-jim-frye,8,8,8,2,0,0,0.00
/resource/customer-webinar-ap-automation-22,8,8,8,2,0,0,0.00
/resource/december-2023-economic-outlook,8,8,7,17,0,0,0.00
/resource/learn-who-uses-sourceday-within-the-napoleon-organization,8,8,8,3,0,0,0.00
/resource/supplier-scorecards,8,8,8,5,0,0,0.00
/resource/the-importance-of-being-a-good-business-partner,8,8,8,1,0,0,0.00
/resource/transcript-another-ducking-digest-october-16th-2023,8,8,8,1,0,0,0.00
/resource/transcript-women-in-erp-dec-2023,8,8,8,1,0,0,0.00
/resource/webinar-transcript-7,8,8,8,3,0,0,0.00
/resources/case-studies,8,8,8,15,0,0,0.00
/sourceday-a-coupa-app-marketplace-partner-improves-supplier-order-fulfillment,8,8,7,19,0,0,0.00
/supply-chain-leaders-convo,8,8,8,1,0,0,0.00
/testimonials/select-brands,8,8,8,1,0,0,0.00
"/"",""Andromeda_Geography_Fit__c"":""Core",7,7,7,0,0,0,0.00
//checkout,7,7,7,3,0,0,0.00
/automation/custom-automations,7,7,6,0,0,0,0.00
/blog/author/anabel-gray,7,7,7,1,0,0,0.00
/blog/author/sam-maurer,7,7,7,3,0,0,0.00
/blog/author/sheyna,7,7,7,4,0,0,0.00
/blog/beyond-email-why-real-time-po-collaboration-is-non-negotiable,7,7,4,82,0,0,0.00
